Series Name,Series Code,Country Name,Country Code,1963 [YR1963],1964 [YR1964],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.15789934216972,3.60296301983733,1.15731182728384,0.419622335236873,0.777675668349521,1.0847364301994,2.071286775962,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.92629460281345,..,..,..,..,..,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.59540454032018,12.5495503512584,9.77566312553481,8.14012483924323,4.37989940479139,3.90213700833265,4.0074681675543,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3508346866024,3.11612920834225,5.5868725925176,9.51665719624878,9.10613239935813,7.85505078676455,8.15540318996355,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.14997791521011,8.86101667194164,18.335450676919,8.42292498526433,4.57829350826381,4.28002244180531,18.7688826670421,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.39593992626472,2.97651908588257,2.68668438860754,0.708171391782081,2.1080649676576,3.31697954676971,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0615034699535569,0.118720521248121,2.5443991943335,0.170091010031033,0.22978727541828,0.548126911629647,0.969097930787756,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.20327407026322,3.95580647225466,6.78551653808325,6.99625786324528,5.94900236944687,5.31935602280975,5.60835566510334,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.2771423314918,17.8570648235674,17.8129447355391,46.3778156116157,18.8550514318504,34.9921529169015,84.9421512206515,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.06818181818182,2.8149377593361,1.05315525114155,-1.907206,0.330337595907928,..,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.69579816266285,..,..,..,..,..,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.9610677099697,0.95134033188843,3.03591358420302,4.13569234498508,1.00307075526857,1.01340799319524,1.47317013259093,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Mali,MLI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.2379786095712,1.19690696999173,0.916291970807697,2.05634319002725,8.35929462145579,4.22925302411059,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.082551317200114,1.49325197003862,3.60866415818956,3.3740904855648,2.47708893232095,142.630582930533,119.066672937018,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Morocco,MAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.68210854454424,3.06216409846056,2.91629550320146,2.41931511649703,1.64044267949382,0.727563356446924,2.26832938364348,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.63947811023365,2.16072747989085,5.32220515014011,5.98122561787165,9.19645817552573,10.7478527362735,16.3773493055434,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.55130271952026,5.057803603051,8.15423459475373,8.41017145329055,6.35102857379976,6.4270302801163,7.58416574445647,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Niger,NER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.01948638947301,1.41348343927037,2.81982328957884,5.88566139238932,13.814869587604,18.4835615927156,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.42581116433691,3.11823628555464,3.11440393893279,3.44976551573541,4.1697698974228,2.24523864438516,3.28917100625162,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,North Africa,NAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.92993193891054,4.87129939003212,3.73967630343262,2.3242003300193,2.2866914224626,1.42224615248755,0.567721802519461,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Rwanda,RWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.409485749912615,0.821970212246484,2.14248629514696,2.79444904925073,2.25926215019477,0.75263496590229,1.66607123871609,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.976261566553968,25.6697067046604,22.8097022143493,43.0865865094623,7.81259638024322,25.1419117649908,13.9768794066843,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Senegal,SEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.601335465550897,2.24587103057342,2.40926596465521,2.02719959518562,1.90233930005406,2.05269932132485,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.53349193410046,13.5581447976124,10.5130781969484,12.0843711178326,13.3448223961851,15.7881938240624,12.9084662105878,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Sierra Leone,SLE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.57370136742676,3.15509812462489,4.54025742103409,2.33359901048532,4.61626011340816,9.41060471793237,24.0486527864514,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.27186735839955,-2.34186210304939,0.962645655944381,4.29561974298921,1.4283433686737,0.381151378679723,1.48019629486571,..
